item_name,item_type,ground_truth,output_verdict
jigsaw_baseball_v1_bad,jigsaw,fail,fail
jigsaw_baseball_v1_good,jigsaw,pass,pass
jigsaw_buses_v1_bad,jigsaw,fail,fail
jigsaw_buses_v1_good,jigsaw,pass,pass
jigsaw_buses_v2_bad,jigsaw,fail,pass
jigsaw_choreequations_V1_bad,jigsaw,fail,fail
jigsaw_choreequations_V1_good,jigsaw,pass,pass
jigsaw_choreequations_V2_bad,jigsaw,fail,pass
jigsaw_choreequations_V2_good,jigsaw,pass,pass
jigsaw_flowers_v1_bad,jigsaw,fail,fail
jigsaw_flowers_v1_good,jigsaw,pass,pass
jigsaw_gardenbeds_v1_bad,jigsaw,fail,fail
jigsaw_gardenbeds_v1_good,jigsaw,pass,pass
jigsaw_landscaping_V1_good,jigsaw,pass,fail
jigsaw_marblebags_v1_bad,jigsaw,fail,fail
jigsaw_marblebags_v2_bad,jigsaw,fail,fail
jigsaw_pokerchips_v1_bad,jigsaw,fail,fail
jigsaw_pokerchips_v1_good,jigsaw,pass,pass
jigsaw_pokerchips_v2_bad,jigsaw,fail,fail
jigsaw_pokerchips_v2_good,jigsaw,pass,fail
jigsaw_pokerchips_v3_bad,jigsaw,fail,fail
jigsaw_pokerchips_v3_good,jigsaw,pass,pass
jigsaw_pokerchips_v4_bad,jigsaw,fail,pass
jigsaw_pokerchips_v4_good,jigsaw,pass,pass
jigsaw_realnumbers_v1_good,jigsaw,pass,fail
jigsaw_salarysequence_V1_bad,jigsaw,fail,fail
jigsaw_salarysequence_V1_good,jigsaw,pass,pass
jigsaw_temperature_v1_bad,jigsaw,fail,fail
jigsaw_temperature_v1_good,jigsaw,pass,pass
jigsaw_temperature_v2_bad,jigsaw,fail,fail
jigsaw_vacationspending_V1_good,jigsaw,pass,pass
jigsaw_weights_v1_bad,jigsaw,fail,fail
jigsaw_weights_v1_good,jigsaw,pass,pass
jigsaw_weights_v2_bad,jigsaw,fail,pass
jigsaw_weights_v2_good,jigsaw,pass,pass
jointconstruction_balls_v1_bad,jointconstruct,fail,fail
jointconstruction_balls_v1_good,jointconstruct,pass,pass
jointconstruction_balls_v2_bad,jointconstruct,fail,fail
jointconstruction_balls_v2_good,jointconstruct,pass,pass
jointconstruction_balls_v3_bad,jointconstruct,fail,fail
jointconstruction_buses_v1_bad,jointconstruct,fail,fail
jointconstruction_buses_v1_good,jointconstruct,pass,pass
jointconstruction_buses_v2_bad,jointconstruct,fail,fail
jointconstruction_choreequations_V1_bad,jointconstruct,fail,fail
jointconstruction_choreequations_V1_good,jointconstruct,pass,fail
jointconstruction_coordinates_v1_bad,jointconstruct,fail,fail
jointconstruction_coordinates_v1_good,jointconstruct,pass,fail
jointconstruction_coordinates_v2_bad,jointconstruct,fail,fail
jointconstruction_equation_v1_bad,jointconstruct,fail,fail
jointconstruction_equation_v1_good,jointconstruct,pass,fail
jointconstruction_equation_v2_bad,jointconstruct,fail,fail
jointconstruction_flowers_v1_bad,jointconstruct,fail,fail
jointconstruction_flowers_v1_good,jointconstruct,pass,pass
jointconstruction_flowers_v2_good,jointconstruct,pass,fail
jointconstruction_gardenbeds_v1_bad,jointconstruct,fail,fail
jointconstruction_gardenbeds_v1_good,jointconstruct,pass,pass
jointconstruction_gardenbeds_v2_bad,jointconstruct,fail,fail
jointconstruction_gardenbeds_v2_good,jointconstruct,pass,pass
jointconstruction_lemonade_v1_good,jointconstruct,pass,fail
jointconstruction_product_v1_bad,jointconstruct,fail,fail
jointconstruction_product_v1_good,jointconstruct,pass,fail
jointconstruction_realnumbers_v1_bad,jointconstruct,fail,fail
jointconstruction_realnumbers_v1_good,jointconstruct,pass,fail
jointconstruction_realnumbers_v2_good,jointconstruct,pass,pass
jointconstruction_realnumbers_v3_good,jointconstruct,pass,pass
jointconstruction_seesaw_v1_good,jointconstruct,pass,pass
jointconstruction_shelter_V1_bad,jointconstruct,fail,fail
jointconstruction_shelter_V1_good,jointconstruct,pass,pass
jointconstruction_triangle_v1_good,jointconstruct,pass,pass
jointconstruction_vacationspending_V1_bad,jointconstruct,fail,fail
requestinfo_bowling_v1_bad,requestinfo,fail,fail
requestinfo_bowling_v1_good,requestinfo,pass,pass
requestinfo_bridge_v1_bad,requestinfo,fail,fail
requestinfo_bridge_v1_good,requestinfo,pass,fail
requestinfo_bridge_v2_good,requestinfo,pass,fail
requestinfo_buses_v1_bad,requestinfo,fail,fail
requestinfo_buses_v1_good,requestinfo,pass,fail
requestinfo_eventbudget_v1_bad,requestinfo,fail,fail
requestinfo_eventbudget_v1_good,requestinfo,pass,pass
requestinfo_flowers_v1_bad,requestinfo,fail,fail
requestinfo_flowers_v1_good,requestinfo,pass,pass
requestinfo_gardenbeds_v1_bad,requestinfo,fail,pass
requestinfo_gardenbeds_v1_good,requestinfo,pass,fail
requestinfo_gardenbeds_v2_bad,requestinfo,fail,pass
requestinfo_gardenbeds_v2_good,requestinfo,pass,pass
requestinfo_gardenpath_v1_good,requestinfo,pass,pass
requestinfo_lasagna_v1_bad,requestinfo,fail,fail
requestinfo_lasagna_v1_good,requestinfo,pass,pass
requestinfo_lasagna_v2_bad,requestinfo,fail,pass
requestinfo_lasagna_v2_good,requestinfo,pass,pass
requestinfo_lines_v1_bad,requestinfo,fail,fail
requestinfo_painter_v1_bad,requestinfo,fail,fail
requestinfo_painter_v1_good,requestinfo,pass,fail
requestinfo_pyramid_v1_bad,requestinfo,fail,fail
requestinfo_race_v1_bad,requestinfo,fail,fail
requestinfo_tiles_v1_bad,requestinfo,fail,fail
requestinfo_tree_v1_bad,requestinfo,fail,fail
requestinfo_tree_v1_good,requestinfo,pass,fail
requestinfo_watersupply_v1_bad,requestinfo,fail,fail
requestinfo_watersupply_v1_good,requestinfo,pass,fail
requestinfo_watertap_v1_bad,requestinfo,fail,fail
requestinfo_watertap_v1_good,requestinfo,pass,pass
requestinfo_watertap_v2_good,requestinfo,pass,fail
requestinfo_wheatharvest_v1_good,requestinfo,pass,pass
requestinfo_wheatharvest_v2_good,requestinfo,pass,pass
requestinfo_wheatyield_v1_bad,requestinfo,fail,fail
requestinfo_wheatyield_v1_good,requestinfo,pass,pass
