item_name,groundtruth,output_verdict
jointconstruction_equation_v1_good,pass,fail
jointconstruction_shelter_V1_bad,fail,fail
jigsaw_buses_v2_bad,fail,pass
jointconstruction_buses_v1_good,pass,pass
requestinfo_lasagna_v1_good,pass,pass
requestinfo_watertap_v2_good,pass,pass
jointconstruction_coordinates_v2_bad,fail,fail
requestinfo_tiles_v1_bad,fail,fail
jigsaw_pokerchips_v3_good,pass,pass
jointconstruction_realnumbers_v3_good,pass,fail
requestinfo_bowling_v1_bad,fail,fail
requestinfo_buses_v1_bad,fail,fail
jigsaw_salarysequence_V1_good,pass,pass
requestinfo_bridge_v1_good,pass,fail
requestinfo_watersupply_v1_good,pass,unknown
requestinfo_wheatyield_v1_bad,fail,fail
jigsaw_pokerchips_v3_bad,fail,fail
jointconstruction_buses_v2_bad,fail,fail
jigsaw_choreequations_V2_good,pass,pass
requestinfo_tree_v1_bad,fail,fail
jointconstruction_flowers_v2_good,pass,pass
jointconstruction_gardenbeds_v2_good,pass,pass
jointconstruction_seesaw_v1_good,pass,pass
jigsaw_gardenbeds_v1_bad,fail,fail
jointconstruction_vacationspending_V1_bad,fail,pass
requestinfo_flowers_v1_good,pass,pass
requestinfo_wheatharvest_v1_good,pass,fail
jigsaw_gardenbeds_v1_good,pass,pass
jigsaw_flowers_v1_good,pass,pass
jointconstruction_flowers_v1_bad,fail,fail
requestinfo_pyramid_v1_bad,fail,fail
jointconstruction_triangle_v1_good,pass,pass
requestinfo_painter_v1_good,pass,pass
jointconstruction_buses_v1_bad,fail,fail
jointconstruction_product_v1_good,pass,fail
requestinfo_race_v1_bad,fail,fail
requestinfo_watertap_v1_bad,fail,fail
jointconstruction_coordinates_v1_bad,fail,fail
jigsaw_marblebags_v1_bad,fail,fail
jointconstruction_lemonade_v1_good,pass,pass
jointconstruction_balls_v3_bad,fail,fail
jigsaw_pokerchips_v4_bad,fail,pass
jointconstruction_balls_v2_good,pass,pass
jointconstruction_realnumbers_v2_good,pass,pass
jigsaw_pokerchips_v2_good,pass,fail
jigsaw_realnumbers_v1_good,pass,unknown
jigsaw_buses_v1_bad,fail,pass
jigsaw_weights_v1_good,pass,fail
jointconstruction_choreequations_V1_good,pass,fail
jointconstruction_shelter_V1_good,pass,pass
requestinfo_painter_v1_bad,fail,fail
jigsaw_salarysequence_V1_bad,fail,unknown
requestinfo_buses_v1_good,pass,pass
jigsaw_choreequations_V1_bad,fail,fail
requestinfo_wheatharvest_v2_good,pass,pass
jigsaw_flowers_v1_bad,fail,pass
jigsaw_pokerchips_v2_bad,fail,fail
requestinfo_bridge_v2_good,pass,fail
jointconstruction_gardenbeds_v2_bad,fail,fail
jigsaw_temperature_v1_bad,fail,fail
jigsaw_baseball_v1_good,pass,pass
jigsaw_choreequations_V1_good,pass,pass
jointconstruction_flowers_v1_good,pass,fail
jigsaw_landscaping_V1_good,pass,pass
jointconstruction_gardenbeds_v1_good,pass,pass
requestinfo_lasagna_v2_bad,fail,fail
jigsaw_weights_v1_bad,fail,pass
requestinfo_bowling_v1_good,pass,pass
jigsaw_pokerchips_v4_good,pass,unknown
jointconstruction_equation_v2_bad,fail,fail
jigsaw_baseball_v1_bad,fail,fail
requestinfo_watertap_v1_good,pass,pass
requestinfo_tree_v1_good,pass,fail
requestinfo_lasagna_v2_good,pass,pass
requestinfo_bridge_v1_bad,fail,fail
jointconstruction_choreequations_V1_bad,fail,pass
jointconstruction_balls_v1_good,pass,pass
jointconstruction_realnumbers_v1_good,pass,pass
requestinfo_gardenbeds_v2_bad,fail,fail
jigsaw_pokerchips_v1_good,pass,pass
jointconstruction_equation_v1_bad,fail,fail
jigsaw_weights_v2_good,pass,unknown
jointconstruction_product_v1_bad,fail,fail
jointconstruction_balls_v2_bad,fail,fail
requestinfo_lasagna_v1_bad,fail,fail
jigsaw_weights_v2_bad,fail,pass
jigsaw_buses_v1_good,pass,pass
jigsaw_pokerchips_v1_bad,fail,unknown
requestinfo_watersupply_v1_bad,fail,unknown
jigsaw_temperature_v2_bad,fail,fail
jointconstruction_gardenbeds_v1_bad,fail,pass
requestinfo_wheatyield_v1_good,pass,fail
requestinfo_gardenbeds_v2_good,pass,pass
jigsaw_temperature_v1_good,pass,pass
jigsaw_vacationspending_V1_good,pass,unknown
jointconstruction_realnumbers_v1_bad,fail,fail
jointconstruction_coordinates_v1_good,pass,fail
requestinfo_flowers_v1_bad,fail,fail
requestinfo_eventbudget_v1_good,pass,pass
jigsaw_choreequations_V2_bad,fail,fail
