"question\model","forecast","GPT3.5","GPT4.0","GPT4V","LOCAL_","CLOUD_"
"jigsaw_batteries_v1_bad","FAIL","Pass","","","",""
"jigsaw_batteries_v1_good","PASS","[Pas","","","",""
"jigsaw_pokerchips_v1_bad","FAIL","Pass","","","",""
"jigsaw_pokerchips_v1_good","PASS","Pass","","","",""
"jigsaw_temperature_v1_good","PASS","Pass","","","",""
"jigsaw_weights_v1_bad ","FAIL","Pass","","","",""
"jigsaw_weights_v1_good ","PASS","Pass","","","",""
"jointconstruction_product_v1_bad","FAIL","Pass","","","",""
"jointcounstruction_clock_v1_good","PASS","Pass","","","",""
"requestinfo_cookies_v1_bad","FAIL","Pass","","","",""
"requestinfo_cookies_v1_good","PASS","Pass","","","",""
"requestinfo_garden_v1_good","PASS","Pass","","","",""
"requestinfo_numberline_v1_bad","FAIL","Pass","","","",""
"requestinfo_tiles_v1_bad","FAIL","Pass","","","",""
